TypePermis;RaisonSociale;AdresseEtabl;Ville;CodePostal
Producteur artisanal de bière;BRASSERIE ART. CHEZ GAMBRINUS;3160, BOULEVARD DES FORGES;TROIS-RIVIÈRES;G8Z1V6
Producteur artisanal de bière;BRASS. ARTISANALE L'AMERE A BOIRE INC.;2045 & 2049, RUE SAINT-DENIS;MONTRÉAL;H2X3K9
Producteur artisanal de bière;BRUTOPIA;1217,1219 & 1219A, RUE CRESCENT;MONTRÉAL;H3G2B1
Producteur artisanal de bière;BRASSERIE DIEU DU CIEL INC.;29, RUE LAURIER OUEST;MONTRÉAL;H2T2N2
Producteur artisanal de bière;LE BROUEMONT;107, BOULEVARD BROMONT;BROMONT;J2L2K7
Producteur artisanal de bière;RÉSERVOIR;9 ET 11, AVENUE DULUTH EST;MONTRÉAL;H2W1G7
Producteur artisanal de bière;MICRO-BRASSERIE DE LA MARE AU DIABLE;151, RUE KING OUEST;SHERBROOKE;J1H1P4
Producteur artisanal de bière;BEDONDAINE ET BEDONS RONDS;255, RUE PETROZZA;CHAMBLY;J3L2Z7
Producteur artisanal de bière;BRASSERIE ARTISANALE BENELUX;245, SHERBROOKE OUEST;MONTRÉAL;H2X1X7
Producteur artisanal de bière;H.E.L.M.;273, RUE BERNARD OUEST;MONTRÉAL;H2V1T5
Producteur artisanal de bière;MICROBRASSERIE LE SAINT-BOCK;1749, RUE SAINT-DENIS;MONTRÉAL;H2X3K4
Producteur artisanal de bière;PUB LA VOIE MALTÉE;2509, RUE SAINT-DOMINIQUE;SAGUENAY;G7X6K1
Producteur artisanal de bière;BRASSERIE ARTISANALE LA KORRIGANE;380, RUE DORCHESTER;QUÉBEC;G1K6A7
Producteur artisanal de bière;LA FABRIQUE;4, RUE BÉRUBÉ ET 360, AVENUE SAINT-JÉRÔME;MATANE;G4W3B1
Producteur artisanal de bière;MICROBRASSERIE LA CAPTIVE INC.;140, BOULEVARD SAINT-BENOIT OUEST;AMQUI;G5J2E8
Brasseur;BIÈRE FANELLI;100, RUE PLANTE;SOREL-TRACY;J3P7P5
Brasseur;LA SOCIÉTÉ MICROBRASSERIE;428, ROUTE DU PRÉSIDENT-KENNEDY;SAINT-CÔME-LINIÈRE;G0M1J0
Brasseur;MICROBRASSERIE LE COUREUR DES BOIS INC.;427, ROUTE DE LA FRICHE;DOLBEAU-MISTASSINI;G8L0E6
Producteur artisanal de bière;LE SAINT-GRAAL;32, RUE TURGEON;SAINTE-THÉRÈSE;J7E3H4
Producteur artisanal de bière;BISTRO-BRASSERIE LES SŒURS GRISES;32, RUE MCGILL;MONTRÉAL;H2Y3W5
Producteur artisanal de bière;L'ESPACE PUBLIC - BRASSEURS DU QUARTIER;3632, RUE ONTARIO EST;MONTRÉAL;H1W1R7
Producteur artisanal de bière;BRASSERIE ARTISANALE LA SOUCHE;801, CHEMIN DE LA CANARDIÈRE;QUÉBEC;G1J2B8
Producteur artisanal de bière;BENELUX (VERDUN);4026, RUE WELLINGTON;MONTRÉAL;H4G1V3
Producteur artisanal de bière;MICRO-BRASSERIE KAPADOKYA;1507, AVENUE SAINT-LOUIS;PLESSISVILLE;G6L2M7
Brasseur;HÔTEL ROQUEMONT INC.;105, GRANDE LIGNE;SAINT-RAYMOND;G3L2Y4
Producteur artisanal de bière;BOQUÉ BIÈRE MICROBRASSERIE DE SHERBROOKE;50, RUE WELLINGTON NORD;SHERBROOKE;J1H5B7
Producteur artisanal de bière;LA CONFRÉRIE MICROBRASSERIE-CIDRERIE DE TILLY;4381 ET 4385, TERRASSE DES CHÊNES;SAINT-ANTOINE-DE-TILLY;G0S2C0
Brasseur;BARBE BROUE MICROBRASSERIE;217, ROUTE 101;NÉDÉLEC;J0Z2Z0
Brasseur;BRASSEURS DU MOULIN INC.;1015, BOULEVARD LIONEL-BOULET;VARENNES;J3X1P7
Producteur artisanal de bière;NOCTEM ARTISANS BRASSEURS;438, RUE DU PARVIS;QUÉBEC;G1K6H8
Brasseur;LA BROUE SHOP BRASSERIE ARTISANALE;1950-A, CHEMIN DU FER-À-CHEVAL;SAINTE-JULIE;J3E2T6
Production artisanale de vin;LE DOMAINE DES CÔTES D'ARDOISE;790 ET 879, RUE BRUCE;DUNHAM;J0E1M0
Production artisanale de vin;VIGNOBLE DE L'ORPAILLEUR;1086, RUE BRUCE, ROUTE 202;DUNHAM;J0E1M0
Production artisanale de vin;LE VIGNOBLE LE CEP D'ARGENT INC.;1257, CHEMIN DE LA RIVIERE;MAGOG;J1X3W5
Production artisanale de vin;VIGNOBLE CLOS DES CIGALES;136, RANG GRAND SABREVOIS;SAINTE-ANNE-DE-SABREVOIS;J0J2G0
Production artisanale de vin;VIGNOBLE DE LA BAUGE;155, AVENUE DES ÉRABLES;BRIGHAM;J2K4E1
Production artisanale de vin;VIGNOBLE GAGLIANO;1046, RUE BRUCE;DUNHAM;J0E1M0
Production artisanale de vin;VIGNOBLE MOROU;238, CHEMIN LOUIS-CYR;SAINT-CYPRIEN-DE-NAPIERVILLE;J0J1L0
Production artisanale de vin;VIGNOBLE DU MARATHONIEN;318, ROUTE 202;HAVELOCK;J0S2C0
Production artisanale de vin;VIGNOBLE LES TROIS CLOCHERS;341, RUE BRUCE, ROUTE 202;DUNHAM;J0E1M0
Production artisanale de vin;VIGNOBLE LES PERVENCHES;150, CHEMIN BOULAIS;FARNHAM;J2N2P9
Production artisanale de vin;VIGNOBLE DE STE-PETRONILLE;8705, CHEMIN ROYAL;SAINTE-PÉTRONILLE;G0A4C0
Production artisanale de vin;VIGNOBLE DOMAINE DE L'ARDENNAIS;158, CHEMIN RIDGE;STANBRIDGE EAST;J0J2H0
Production artisanale de vin;LA BULLERIE;2007, CHEMIN PRINCIPAL;SAINT-JOSEPH-DU-LAC;J0N1M0
Production artisanale de vin;VIGNOBLE DES NÉGONDOS;7100, RANG SAINT-VINCENT;MIRABEL;J7N3N1
Production artisanale de vin;LE VIGNOBLE DE L'ISLE DE BACCHUS INC.;1335, CHEMIN ROYAL;SAINT-PIERRE-DE-L'ÎLE-D'ORLÉANS;G0A4E0
Production artisanale de vin;VIGNOBLE LE NORDET;991, CHEMIN DES ÎLES;LÉVIS;G6C1B5
Production artisanale de vin;VIGNOBLE DE LA RIVIÈRE DU CHÊNE;807, CHEMIN DE LA RIVIÈRE NORD;SAINT-EUSTACHE;J7R4K3
Production artisanale de vin;DOMAINE DU RIDGE;205, CHEMIN RIDGE;SAINT-ARMAND;J0J1T0
Production artisanale de vin;VIGNOBLE LES ARTISANS DU TERROIR;1150, RANG DE LA MONTAGNE ET 195, RUE PRINCIPALE EST;SAINT-PAUL-D'ABBOTSFORD;J0E1A0
Production artisanale de vin;DOMAINE DE LAVOIE;100, RANG DE LA MONTAGNE ET 173, CHEMIN DE MARIEVILLE;ROUGEMONT;J0L1M0
Production artisanale de vin;LE DOMAINE DES DUCS SENC.;440, ROUTE DE L'ÎLE DU COLLÈGE;DUHAMEL-OUEST;J9V1E7
Production artisanale de vin;VIGNOBLE CLOS STE-CROIX DE DUNHAM;3734, RUE PRINCIPALE;DUNHAM;J0E1M0
Production artisanale de vin;CHÂTEAU SAINTE-AGNÈS;2565, CHEMIN SCENIC;SUTTON;J0E2K0
Production artisanale de vin;VIGNOBLE DU FAUBOURG SENC;479, RUE DES BOURGAULT;SAINT-JEAN-PORT-JOLI;G0R3G0
Production artisanale de vin;VIGNOBLE ET CIDRERIE COTEAU ST-PAUL;1595, RUE PRINCIPALE EST;SAINT-PAUL-D'ABBOTSFORD;J0E1A0
Production artisanale de vin;CHÂTEAU TAILLEFER LAFON;1500, MONTÉE CHAMPAGNE;LAVAL;H7X4H9
Production artisanale de vin;LA CHARLOISE;545, RANG SAINT-EUSTACHE;LOTBINIÈRE;G0S1S0
Production artisanale de vin;DOMAINE LES BROME;259, CHEMIN DE BROME;LAC-BROME;J0E1S0
Production artisanale de vin;LES ENTREPRISES CARONE;75, RUE ROY;LANORAIE;J0K1E0
Production artisanale de vin;VIGNOBLE CHÂTEAU FONTAINE;5020, AVENUE JEFO et 4900, RUE MARTINEAU (J2R 1K3);SAINT-HYACINTHE;J2R2E7
Production artisanale de vin;CLOS SARAGNAT;100, CHEMIN RICHFORD;FRELIGHSBURG;J0J1C0
Production artisanale de vin;VIGNOBLE LES CÔTES DU GAVET;1690, CHEMIN DE L'AQUEDUC;TINGWICK;J0A1L0
Production artisanale de vin;VIGNOBLE CARPINTERI;3141, CHEMIN DU PONT COUVERT;SAINT-ULRIC;G0J3H0
Production artisanale de vin;VIGNOBLE LES PETITS CAILLOUX;625, RANG DE LA MONTAGNE;SAINT-PAUL-D'ABBOTSFORD;J0E1A0
Production artisanale de vin;DOMAINE L'ANGE-GARDIEN;6869, AVENUE ROYAL;L'ANGE-GARDIEN;G0A2K0
Production artisanale de vin;LA HALTE DES PÈLERINS INC.;693, CHEMIN DU SANCTUAIRE;SHERBROOKE;J1H0E1
Production artisanale de vin;VIGNOBLE SAINT-THOMAS (ANCIENNEMENT LE MERNOIS);1090 ET 1101, RANG SUD;SAINT-THOMAS;J0K3L0
Production artisanale de vin;VIGNOBLE DU MITAN;2608, CHEMIN ROYAL;SAINTE-FAMILLE-DE-L'ÎLE-D'ORLÉANS;G0A3P0
Production artisanale de vin;VIGNOBLE LES MURMURES;2750, RUE NOISEUX;SAINT-JEAN-BAPTISTE;J0L2B0
Production artisanale de vin;LE VIGNOBLE LES VENTS D'ANGE;839, CHEMIN PRINCIPAL;SAINT-JOSEPH-DU-LAC;J0N1M0
Production artisanale de vin;VIGNOBLE AMOURASKA;568, RANG SAINT-CHARLES OUEST;SAINT-ALEXANDRE-DE-KAMOURASKA;G0L2G0
Production artisanale de vin;VIGNOBLE DOMAINE BRESEE;303, CHEMIN DRAPER;SUTTON;J0E2K0
Production artisanale de vin;DOMAINE ST-JACQUES;615 et 693, ROUTE ÉDOUARD VII;SAINT-JACQUES-LE-MINEUR;J0J1Z0
Production artisanale de vin;DOMAINE MONT-VÉZEAU;365, ROUTE 321 NORD;RIPON;J0V1V0
Production artisanale de vin;DOMAINE SAINT-BASILE;23, RANG DES VINGT;SAINT-BASILE-LE-GRAND;J3N1M2
Production artisanale de vin;DOMAINE DES SALAMANDRES;196 ET 200, CHEMIN DE COVEY HILL;HEMMINGFORD;J0L1H0
Production artisanale de vin;DOMAINE DU CLOS DE L'ISLE;11100, CHEMIN DES COQUELICOTS;BÉCANCOUR;G9H4X3
Production artisanale de vin;VIGNOBLE CÔTE DE VAUDREUIL;2692, ROUTE HARWOOD;VAUDREUIL-DORION;J7V4G2
Production artisanale de vin;DOMAINE & VINS GÉLINAS;267, RANG SAINT-FRANÇOIS;SAINT-SÉVÈRE;G0X3B0
Production artisanale de vin;VIGNOBLE CÔTÉ DES LIMOUSINS;1980, BOULEVARD DAVID-BOUCHARD;ROXTON POND;J0E1Z0
Production artisanale de vin;CLOS LAMBERT INC.;690, ROUTE DE LA RIVIÈRE-ETCHEMIN;LÉVIS;G6Z2K9
Production artisanale de vin;VIGNOBLE BOUCHE-ART;96, CHEMIN DE LA CHAPELLE;SAINT-SULPICE;J5W4C8
Production artisanale de vin;VIGNOBLE KOBLOTH;905 ET 925, GRAND BOULEVARD OUEST;SAINT-BRUNO-DE-MONTARVILLE;J3V0L8
Production artisanale de vin;DOMAINE DES MÉTÉORES;203, CHEMIN DU LAC-GROSLEAU;RIPON;J0V1V0
Production artisanale de vin;VIGNOBLE J.O. MONTPETIT & FILS;396, CHEMIN SAINT-LOUIS;SAINT-ÉTIENNE-DE-BEAUHARNOIS;J0S1S0
Production artisanale de vin;CLOS SAINTE-THÈCLE;171, RUE DU VIGNOBLE;SAINTE-THÈCLE;G0X3G0
Production artisanale de vin;VIGNOBLE BROMONT;1095, CHEMIN NORD;BRIGHAM;J2K0P6
Production artisanale de vin;AU VIGNOBLE D'ORFORD;318, CHEMIN BICE;ORFORD;J1X6X4
Production artisanale de vin;VIGNOBLE SAINT-GABRIEL;2190, RANG SAINT-DAVID;SAINT-GABRIEL-DE-BRANDON;J0K2N0
Production artisanale de vin;LA PETITE PAYSANNE;1099 & 1100, CHEMIN DE L'ACHIGAN EST;SAINTE-SOPHIE;J5J2P9
Production artisanale de vin;LES ENTREPRISES RIPARIA INC.;1440, RANG 10;SAINT-WENCESLAS;G0Z1J0
Production artisanale de vin;VIGNOBLE D'OKA;300, RANG SAINT-AMBROISE;OKA;J0N1E0
Production artisanale de vin;DOMAINE ARVI;7119, RANG DE L'HÊTRIÈRE EST;SAINT-CHARLES-DE-BELLECHASSE;G0R2T0
Production artisanale de vin;LE CHÂTEAU DE LA GRANGE;4310, CHEMIN DU CORDON;VARENNES;J3X1P9
Production artisanale de vin;VIGNOBLE MONDOR;137, RANG SAINT-HENRI;LANORAIE;J0K1E0
Production artisanale de vin;DOMAINE DES 3 MOULINS;1333, ROUTE 138;NEUVILLE;G0A2R0
Production artisanale de vin;AU JARDIN D'ÉMMANUEL;153, RANG SAINTE-SOPHIE;OKA;J0N1E0
Production artisanale de vin;LE MAS DES PATRIOTES;1076, CHEMIN DES PATRIOTES OUEST;SAINT-JEAN-SUR-RICHELIEU;J2Y1H4
Production artisanale de vin;CHÂTEAU DE CARTES;1285, RUE BRUCE;DUNHAM;J0E1M0
Production artisanale de vin;DOMAINE BERGEVILLE;1030, CHEMIN SHERBROOKE;NORTH HATLEY;J0B2C0
Production artisanale de vin;VIGNOBLE CENTAURE;3848, RUE PRINCIPALE;DUNHAM;J0E1M0
Production artisanale de vin;ÉCOLE DU 3E RANG;511, 3E RANG EST;SAINT-JOACHIM-DE-SHEFFORD;J0E2G0
Production artisanale de vin;DOMAINE DU FLEUVE;1164, ROUTE MARIE-VICTORIN;VARENNES;J3X0B8
Production artisanale de vin;VIGNOBLE LE CHAT BOTTÉ;633, ROUTE 202 EST;HEMMINGFORD;J0L1H0
Production artisanale de vin;VIGNOBLE PRÉMONT;2030, RUE PAUL-LEMAY;SAINTE-ANGÈLE-DE-PRÉMONT;J0K1R0
Production artisanale de vin;DOMAINE DU P'TIT BONHEUR;434, CHEMIN PLOUFFE;COWANSVILLE;J2K3G6
Production artisanale de vin;VIGNOBLE DU CHEMIN DE LA RIVIÈRE;1087, CHEMIN DE LA RIVIÈRE;MAGOG;J1X3W5
Production artisanale de vin;LE VIGNOBLE PIGEON HILL;395, CHEMIN DES ÉRABLES;SAINT-ARMAND;J0J1T0
Production artisanale de vin;VIGNOBLE LES VALLONS DE WADLEIGH;186, ROUTE 143;ULVERTON;J0B2B0
Production artisanale de vin;VIGNOBLE SPIRIT LÉONARD;592, MONTÉE DES PAYSANS;LABELLE;J0T1H0
Production artisanale de vin;VIGNOBLE STE-ANGÉLIQUE;472 ET 496, CÔTE SAINT-CHARLES;PAPINEAUVILLE;J0V1R0
Production artisanale de vin;VIGNOBLE COUCHEPAGANE;1328, RANG SAINTE-ANNE;MÉTABETCHOUAN-LAC-À-LA-CROIX;G8G1A3
Production artisanale de vin;VIGNOBLE CORTELLINO;468, RANG DOUBLE;SAINT-URBAIN-PREMIER;J0S1Y0
Production artisanale de vin;LE FIEF DE LA RIVIÈRE;20280, BOULEVARD DES ACADIENS;BÉCANCOUR;G9H1M8
Production artisanale de vin;CÔTE ST-HERMAS VIGNOBLE ET GÎTE;3461, CHEMIN CHARLES LÉONARD;MIRABEL;J7N2Y7
Production artisanale de vin;VIGNOBLE DU RUISSEAU;4500, RUE STROBL;DUNHAM;J0E1M0
Production artisanale de vin;DOMAINE BEAUCHEMIN;380, RUE GÉRIN-LAJOIE;YAMACHICHE;G0X3L0
Production artisanale de vin;VIGNOBLE SUGAR HILL;4, CHEMIN SUGAR HILL ET 89, CHEMIN DU MONT-ÉCHO;LAC-BROME;J0E1V0
Production artisanale de vin;MAURICE DUFOUR;1339, BOULEVARD MONSEIGNEUR DE LAVAL;BAIE-SAINT-PAUL;G3Z2X6
Production artisanale de vin;VIGNOBLE LANO D'OR;1000, GRANDE CÔTE OUEST;LANORAIE;J0K1E0
Production artisanale de vin;DOMAINE AMALGAMES;1292, RUE PRINCIPALE;SAINT-BLAISE-SUR-RICHELIEU;J0J1W0
Production artisanale de vin;VIGNOBLE ÉMILE-AUGUSTE;60, MONTÉE GUAY;SAINT-BERNARD-DE-LACOLLE;J0J1V0
Production artisanale de vin;CENTRE DE RECHERCHE AGROALIMENTAIRE DE MIRABEL;1500 ET 1600-A, CHEMIN D'OKA;OKA;J0N1E0
Production artisanale de vin;LA SEIGNEURIE DE LIRET;2378, CHEMIN ROYAL;SAINTE-FAMILLE-DE-L'ÎLE-D'ORLÉANS;G0A3P0
Production artisanale de vin;VIGNOBLE 30 ARPENTS;732, CHEMIN DES TRENTE;SAINT-MATHIAS-SUR-RICHELIEU;J3L6A2
Production artisanale de vin;GRANGE HATLEY;395, CHEMIN BACHAND;SAINTE-CATHERINE-DE-HATLEY;J0B1W0
Production artisanale de vin;DOMAINE DE PONTIAC VILLAGE;1259, CHEMIN DU CIMETIÈRE;PONTIAC;J0X2V0
Production artisanale de vin;DOMAINE DU NIVAL INC.;424, RANG DU BORD-DE-L'EAU OUEST;SAINT-LOUIS;J0G1K0
Production artisanale de vin;PINARD ET FILLES;1700, CHEMIN DES PÈRES;MAGOG;J1X5R9
Production artisanale de vin;FERME LE RAKU;80, ROUTE 132;SAINT-GERMAIN-DE-KAMOURASKA;G0L3G0
Production artisanale de vin;DOMAINE DE DUNHAM;4470, CHEMIN GODBOUT;DUNHAM;J0E1M0
Production artisanale de vin;VIGNOBLE LA GRANDE ALLÉE;812, CHEMIN PION;MONT-SAINT-HILAIRE;J3G4S6
Production artisanale de vin;VIGNOBLE CAMY;188, MONTÉE HENRYSBURG;SAINT-BERNARD-DE-LACOLLE;J0J1V0
Production artisanale de vin;LE BOURG DES CÈDRES;490, CHEMIN DU FLEUVE;LES CÈDRES;J7T1L4
Production artisanale de vin;VIGNOBLE DU MOUTON NOIR;1482, CHEMIN DU RIVAGE;SAINT-ANTOINE-SUR-RICHELIEU;J0L1R0
